regulon_name,regulated_genes,regulated_operon,regulated_tu,total_of_regulatory_interaction,total_of_binding_sites,geneId,leftEndPos,rightEndPos,strand,geneSynonyms,otherDbsGeneIds,productId,productName,productSynonyms,otherDbsProductsIds 
rcsb,26,14,19,19,10,RDBECOLIGNC00811,2316177.0,2316827.0,forward,EG10821,[STRING:199310.c2760][ASAP:ABE-0007333][ECHOBASE:EB0814][OU-MICROARRAY:b2217][CGSC:17977][ECOCYC:EG10821][REFSEQ:b2217],RDBECOLIPDC04095,DNA-binding transcriptional activator RcsB,"RcsB response regulator,RcsB",[ALPHAFOLD:P0DMC7][INTERPRO:IPR011006][PDB:5I4C][SWISSMODEL:P0DMC7][UNIPROT:P0DMC7][PFAM:PF00196][SMR:P0DMC7][PRIDE:P0DMC7][SMART:SM00421][PROSITE:PS00622][PRINTS:PR00038][PRODB:PRO_000023690][ECOLIWIKI:b2217][MODBASE:P69407][REFSEQ:NP_416721][ECOCYC:RCSB-MONOMER] 
yeil,1,1,1,1,1,RDBECOLIGNC01944,2255355.0,2256014.0,forward,EG12031,[STRING:511145.b2163][ASAP:ABE-0007160][ECHOBASE:EB1966][OU-MICROARRAY:b2163][ECOCYC:EG12031][REFSEQ:b2163],RDBECOLIPDC01377,DNA-binding transcriptional activator YeiL,YeiL,[INTERPRO:IPR018490][ALPHAFOLD:P0A9E9][PFAM:PF00027][SMR:P0A9E9][SMART:SM00100][PROSITE:PS50042][PRIDE:P0A9E9][PRODB:PRO_000023417][ECOLIWIKI:b2163][MODBASE:P0A9E9][UNIPROT:P0A9E9][REFSEQ:NP_416668][ECOCYC:EG12031-MONOMER] 
hypt,13,5,5,5,2,RDBECOLIGNC04662,4557378.0,4558289.0,reverse,"qseD,yjiE,G7924",[STRING:511145.b4327][ASAP:ABE-0014192][ECHOBASE:EB2454][OU-MICROARRAY:b4327][ECOCYC:G7924][REFSEQ:b4327],RDBECOLIPDC03227,DNA-binding transcriptional dual regulator HypT,"HypT,QseD,YjiE",[ALPHAFOLD:P39376][INTERPRO:IPR005119][PFAM:PF03466][PRIDE:P39376][SMR:P39376][DIP:DIP-12633N][PROSITE:PS50931][PRINTS:PR00039][ECOLIWIKI:b4327][MODBASE:P39376][REFSEQ:NP_418747][UNIPROT:P39376][ECOCYC:G7924-MONOMER] 
accb,2,1,1,1,1,RDBECOLIGNC00269,3405436.0,3405906.0,forward,"fabE,EG10275",[STRING:511145.b3255][ASAP:ABE-0010675][ECHOBASE:EB0271][OU-MICROARRAY:b3255][CGSC:796][ECOCYC:EG10275][REFSEQ:b3255],RDBECOLIPDC00202,biotin carboxyl carrier protein,"FabE,AccB,apo-[acetyl-CoA:carbon-dioxide ligase (ADP forming)],BCCP",[ALPHAFOLD:P0ABD8][REFSEQ:NP_417721][DISPROT:DP00970][PFAM:PF00364][PDB:3BDO][SMR:P0ABD8][DIP:DIP-48007N][INTERPRO:IPR001249][PROSITE:PS00188][PRIDE:P0ABD8][PRINTS:PR01071][PRODB:PRO_000022033][ECOLIWIKI:b3255][MODBASE:P0ABD8][UNIPROT:P0ABD8][ECOCYC:BCCP-MONOMER] 
cspa,2,2,2,4,4,RDBECOLIGNC00162,3720049.0,3720261.0,forward,EG10166,[STRING:511145.b3556][ASAP:ABE-0011616][ECHOBASE:EB0164][OU-MICROARRAY:b3556][CGSC:29540][ECOCYC:EG10166][REFSEQ:b3556],RDBECOLIPDC03983,cold shock protein CspA,"CspA,major cold shock protein 7.4,CS7.4,F10.6,DNA-binding transcriptional activator CspA",[ALPHAFOLD:P0A9X9][PROSITE:PS00352][PFAM:PF00313][PDB:1MJC][SMR:P0A9X9][DIP:DIP-31862N][INTERPRO:IPR019844][SMART:SM00357][PRIDE:P0A9X9][PRINTS:PR00050][PRODB:PRO_000022338][ECOLIWIKI:b3556][MODBASE:P0A9X9][UNIPROT:P0A9X9][REFSEQ:NP_418012][ECOCYC:PD03695] 
decr,2,0,0,1,1,RDBECOLIGNC03131,468383.0,468841.0,forward,"ybaO,cyuR,G6247",[STRING:511145.b0447][ASAP:ABE-0001553][ECHOBASE:EB3009][OU-MICROARRAY:b0447][ECOCYC:G6247][REFSEQ:b0447],RDBECOLIPDC01920,DNA-binding transcriptional activator DecR,"CyuR,DecR,YbaO",[ALPHAFOLD:P0ACJ5][PFAM:PF01037][INTERPRO:IPR000485][DIP:DIP-11303N][SMR:P0ACJ5][SMART:SM00344][PROSITE:PS00519][PRIDE:P0ACJ5][PRINTS:PR00033][ECOLIWIKI:b0447][MODBASE:P0ACJ5][UNIPROT:P0ACJ5][REFSEQ:NP_414981][ECOCYC:G6247-MONOMER] 
rcda,14,8,10,18,15,RDBECOLIGNC03313,887423.0,887959.0,forward,"ybjK,G6444",[STRING:511145.b0846][ASAP:ABE-0002885][ECHOBASE:EB3444][OU-MICROARRAY:b0846][ECOCYC:G6444][REFSEQ:b0846],RDBECOLIPDC02059,RcdA,YbjK,[PDB:5X5I][ALPHAFOLD:P75811][INTERPRO:IPR009057][PFAM:PF00440][SMR:P75811][PROSITE:PS50977][PRIDE:P75811][ECOLIWIKI:b0846][MODBASE:P75811][REFSEQ:NP_415367][UNIPROT:P75811][ECOCYC:G6444-MONOMER] 
ada,4,3,6,8,4,RDBECOLIGNC00026,2309341.0,2310405.0,reverse,EG10029,[STRING:511145.b2213][ASAP:ABE-0007311][ECHOBASE:EB0028][OU-MICROARRAY:b2213][CGSC:1043][ECOCYC:EG10029][REFSEQ:b2213],RDBECOLIPDC03928,DNA-binding transcriptional dual regulator / DNA repair protein Ada,Ada,[ALPHAFOLD:P06134][INTERPRO:IPR004026][PFAM:PF01035][SMR:P06134][DIP:DIP-9055N][SMART:SM00342][PROSITE:PS00041][PDB:1ADN][PRIDE:P06134][PRODB:PRO_000022054][ECOLIWIKI:b2213][MODBASE:P06134][REFSEQ:NP_416717][UNIPROT:P06134][ECOCYC:PD00230] 
gutm,7,1,1,1,1,RDBECOLIGNC00960,2828621.0,2828980.0,forward,"gut,srlM,EG10972",[STRING:511145.b2706][ASAP:ABE-0008898][ECHOBASE:EB0965][OU-MICROARRAY:b2706][CGSC:33198][ECOCYC:EG10972][REFSEQ:b2706],RDBECOLIPDC03945,DNA-binding transcriptional activator GutM,"GutM,SrlM,Gut",[ALPHAFOLD:P15081][PFAM:PF06923][PRIDE:P15081][INTERPRO:IPR009693][ECOLIWIKI:b2706][ECOO157CYC:GUTM-MONOMER][REFSEQ:NP_417186][UNIPROT:P15081][ECOCYC:PD00345] 
rob,50,24,26,40,20,RDBECOLIGNC01333,4634441.0,4635310.0,reverse,"cbpB,robA,EG11366",[STRING:511145.b4396][ASAP:ABE-0014420][ECHOBASE:EB1340][OU-MICROARRAY:b4396][CGSC:34661][ECOCYC:EG11366][REFSEQ:b4396],RDBECOLIPDC03992,DNA-binding transcriptional dual regulator Rob,"RobA,CbpB,Rob,right origin-binding protein",[ALPHAFOLD:P0ACI0][PFAM:PF06445][INTERPRO:IPR010499][SMR:P0ACI0][DIP:DIP-47868N][SMART:SM00871][PROSITE:PS00041][PRIDE:P0ACI0][PRINTS:PR00032][PDB:1D5Y][PRODB:PRO_000023802][ECOLIWIKI:b4396][MODBASE:P0ACI0][UNIPROT:P0ACI0][REFSEQ:NP_418813][ECOCYC:PD04418] 
fis,241,100,137,326,249,RDBECOLIGNC00311,3411271.0,3411567.0,forward,"nbp,EG10317",[STRING:511145.b3261][ASAP:ABE-0010703][ECHOBASE:EB0313][OU-MICROARRAY:b3261][CGSC:18328][ECOCYC:EG10317][REFSEQ:b3261],RDBECOLIPDC03919,DNA-binding transcriptional dual regulator Fis,"Nbp,site-specific DNA inversion stimulation factor,Fis",[ALPHAFOLD:P0A6R3][PDB:4FIS][PFAM:PF02954][SMR:P0A6R3][DIP:DIP-47975N][INTERPRO:IPR005412][PRIDE:P0A6R3][PRINTS:PR01591][DISPROT:DP00422][PRODB:PRO_000022626][ECOLIWIKI:b3261][MODBASE:P0A6R3][UNIPROT:P0A6R3][ECOO157CYC:FIS-MONOMER][REFSEQ:NP_417727][ECOCYC:PD00196] 
pgrr,9,4,5,6,6,RDBECOLIGNC03526,1391991.0,1392890.0,forward,"ycjZ,G6664",[STRING:511145.b1328][ASAP:ABE-0004457][ECHOBASE:EB3682][OU-MICROARRAY:b1328][ECOCYC:G6664][REFSEQ:b1328],RDBECOLIPDC02242,DNA-binding transcriptional repressor PgrR,"PgrR,YcjZ",[ALPHAFOLD:P77333][INTERPRO:IPR005119][PFAM:PF03466][SMR:P77333][DIP:DIP-11617N][PROSITE:PS50931][PRIDE:P77333][PRINTS:PR00039][ECOLIWIKI:b1328][MODBASE:P77333][REFSEQ:NP_415844][UNIPROT:P77333][ECOCYC:G6664-MONOMER] 
iscr,33,9,10,16,13,RDBECOLIGNC04153,2661643.0,2662131.0,reverse,"yfhP,G7326",[STRING:511145.b2531][ASAP:ABE-0008326][ECHOBASE:EB3178][OU-MICROARRAY:b2531][ECOCYC:G7326][REFSEQ:b2531],RDBECOLIPDC02772,DNA-binding transcriptional dual regulator IscR,"IscR,YfhP",[ALPHAFOLD:P0AGK8][INTERPRO:IPR010242][PANTHER:PTHR33221][PFAM:PF02082][PDB:4HF2][SMR:P0AGK8][DIP:DIP-47974N][PROSITE:PS01332][PRIDE:P0AGK8][PRODB:PRO_000023032][ECOLIWIKI:b2531][MODBASE:P0AGK8][UNIPROT:P0AGK8][REFSEQ:NP_417026][ECOCYC:G7326-MONOMER] 
beti,4,2,2,2,2,RDBECOLIGNC00107,328747.0,329334.0,reverse,EG10111,[STRING:511145.b0313][ASAP:ABE-0001076][ECHOBASE:EB0109][OU-MICROARRAY:b0313][CGSC:30692][ECOCYC:EG10111][REFSEQ:b0313],RDBECOLIPDC03933,DNA-binding transcriptional repressor BetI,BetI,[ALPHAFOLD:P17446][INTERPRO:IPR023772][PFAM:PF13977][SMR:P17446][PROSITE:PS01081][PRIDE:P17446][PRINTS:PR00455][PRODB:PRO_000022209][ECOLIWIKI:b0313][REFSEQ:NP_414847][MODBASE:P17446][UNIPROT:P17446][ECOCYC:PD00251] 
cra,79,40,61,76,46,RDBECOLIGNC00332,88028.0,89032.0,forward,"fruR,fruC,shl,EG10338",[STRING:511145.b0080][ASAP:ABE-0000299][ECHOBASE:EB0334][OU-MICROARRAY:b0080][CGSC:18304][ECOCYC:EG10338][REFSEQ:b0080],RDBECOLIPDC03962,DNA-binding transcriptional dual regulator Cra,"Shl,FruC,FruR,Cra",[ALPHAFOLD:P0ACP1][PFAM:PF00532][INTERPRO:IPR012781][PDB:1UXD][SMR:P0ACP1][DIP:DIP-35838N][SMART:SM00354][PROSITE:PS00356][PRIDE:P0ACP1][PRODB:PRO_000022702][ECOLIWIKI:b0080][MODBASE:P0ACP1][UNIPROT:P0ACP1][REFSEQ:NP_414622][ECOCYC:PD00521] 
rbsr,11,3,3,4,4,RDBECOLIGNC00809,3938227.0,3939219.0,forward,EG10819,[STRING:511145.b3753][ASAP:ABE-0012271][ECHOBASE:EB0812][OU-MICROARRAY:b3753][CGSC:12086][ECOCYC:EG10819][REFSEQ:b3753],RDBECOLIPDC03985,DNA-binding transcriptional dual regulator RbsR,"RbsR,regulator for rbs operon",[INTERPRO:IPR010982][ALPHAFOLD:P0ACQ0][PFAM:PF13377][SMR:P0ACQ0][SMART:SM00354][PROSITE:PS00356][PRIDE:P0ACQ0][PRINTS:PR00036][PRODB:PRO_000023686][ECOLIWIKI:b3753][REFSEQ:NP_418209][SWISSMODEL:P0ACQ0][UNIPROT:P0ACQ0][ECOCYC:PD03867] 
envr,2,1,1,1,1,RDBECOLIGNC01678,3412803.0,3413465.0,reverse,"acrS,yhdK,EG11741",[STRING:511145.b3264][ASAP:ABE-0010712][ECHOBASE:EB1692][OU-MICROARRAY:b3264][ECOCYC:EG11741][REFSEQ:b3264],RDBECOLIPDC01185,DNA-binding transcriptional repressor EnvR,"YhdK,AcrS,EnvR",[ALPHAFOLD:P0ACT2][INTERPRO:IPR023772][PFAM:PF08361][PRIDE:P0ACT2][SMR:P0ACT2][PROSITE:PS01081][PRINTS:PR00455][ECOLIWIKI:b3264][MODBASE:P0ACT2][UNIPROT:P0ACT2][REFSEQ:NP_417730][ECOCYC:EG11741-MONOMER] 
mngr,3,2,2,4,4,RDBECOLIGNC01094,765153.0,765875.0,reverse,"ybgB,farR,EG11109",[STRING:511145.b0730][ASAP:ABE-0002487][ECHOBASE:EB1100][ECOO157CYC:Z4874][OU-MICROARRAY:b0730][CGSC:36837][ECOCYC:EG11109][REFSEQ:b0730],RDBECOLIPDC03966,DNA-binding transcriptional repressor MngR,"YbgB,FarR,MngR",[ALPHAFOLD:P13669][INTERPRO:IPR000524][PFAM:PF07702][PRIDE:P13669][SMR:P13669][DIP:DIP-9565N][SMART:SM00345][PROSITE:PS50949][PRINTS:PR00035][PRODB:PRO_000023253][ECOLIWIKI:b0730][MODBASE:P13669][ECOO157CYC:Z4874-MONOMER][REFSEQ:NP_415258][UNIPROT:P13669][ECOCYC:PD01103] 
pyrr,1,1,1,2,2,RDBECOLIGNC04074,2500383.0,2501117.0,forward,"ypdB,G7244",[STRING:511145.b2381][ASAP:ABE-0007857][ECHOBASE:EB3901][OU-MICROARRAY:b2381][ECOCYC:G7244][REFSEQ:b2381],RDBECOLIPDC02706,DNA-binding transcriptional activator PyrR,YpdB,[ALPHAFOLD:P0AE39][INTERPRO:IPR011006][PANTHER:PTHR48111][PFAM:PF04397][SMR:P0AE39][DIP:DIP-48228N][SMART:SM00850][PROSITE:PS50930][PRIDE:P0AE39][ECOLIWIKI:b2381][MODBASE:P0AE39][SWISSMODEL:P0AE39][UNIPROT:P0AE39][REFSEQ:NP_416882][ECOCYC:G7244-MONOMER] 
aidb,1,1,2,2,1,RDBECOLIGNC01742,4414275.0,4415900.0,forward,EG11811,[STRING:511145.b4187][ASAP:ABE-0013701][ECHOBASE:EB1759][OU-MICROARRAY:b4187][CGSC:18553][ECOCYC:EG11811][REFSEQ:b4187],RDBECOLIPDC01227,putative acyl-CoA dehydrogenase AidB,"AidB,isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor",[ALPHAFOLD:P33224][INTERPRO:IPR006089][PFAM:PF00441][PDB:3U33][SMR:P33224][DIP:DIP-9078N][PROSITE:PS00072][PRIDE:P33224][PRODB:PRO_000022072][ECOLIWIKI:b4187][MODBASE:P33224][REFSEQ:NP_418608][UNIPROT:P33224][ECOCYC:EG11811-MONOMER] 
torr,21,5,8,27,23,RDBECOLIGNC02329,1057262.0,1057954.0,reverse,EG12615,[STRING:511145.b0995][ASAP:ABE-0003362][ECHOBASE:EB2499][OU-MICROARRAY:b0995][CGSC:36408][ECOCYC:EG12615][REFSEQ:b0995],RDBECOLIPDC04332,DNA-binding transcriptional dual regulator TorR,"TorR response regulator,TorR",[ALPHAFOLD:P38684][PANTHER:PTHR48111][INTERPRO:IPR011006][PFAM:PF00486][PRIDE:P38684][PROSITE:PS50110][SMR:P38684][DIP:DIP-11016N][SMART:SM00448][PDB:1ZGZ][PRODB:PRO_000024089][ECOLIWIKI:b0995][MODBASE:P38684][REFSEQ:NP_415515][UNIPROT:P38684][ECOCYC:TORR-MONOMER] 
prpr,5,2,2,4,4,RDBECOLIGNC03088,346857.0,348443.0,reverse,"yahP,G6195",[STRING:511145.b0330][ASAP:ABE-0001133][ECHOBASE:EB3369][OU-MICROARRAY:b0330][ECOCYC:G6195][REFSEQ:b0330],RDBECOLIPDC01892,DNA-binding transcriptional dual regulator PrpR,"YahP,PrpR",[ALPHAFOLD:P77743][PFAM:PF02954][INTERPRO:IPR003593][SMR:P77743][DIP:DIP-10582N][SMART:SM00382][PROSITE:PS00676][PDB:2PJU][PRIDE:P77743][PRODB:PRO_000023610][ECOLIWIKI:b0330][MODBASE:P77743][SWISSMODEL:P77743][REFSEQ:NP_414864][UNIPROT:P77743][ECOCYC:G6195-MONOMER] 
acrr,15,8,9,11,10,RDBECOLIGNC02015,485761.0,486408.0,forward,"ybaH,EG12116",[STRING:511145.b0464][ASAP:ABE-0001608][ECHOBASE:EB2039][OU-MICROARRAY:b0464][CGSC:35809][ECOCYC:EG12116][REFSEQ:b0464],RDBECOLIPDC01411,DNA-binding transcriptional repressor AcrR,"YbaH,AcrR",[ALPHAFOLD:P0ACS9][INTERPRO:IPR023772][PFAM:PF08361][PRIDE:P0ACS9][SMR:P0ACS9][PROSITE:PS01081][PDB:2QOP][PRINTS:PR00455][PRODB:PRO_000022051][ECOLIWIKI:b0464][MODBASE:P0ACS9][SWISSMODEL:P0ACS9][UNIPROT:P0ACS9][REFSEQ:NP_414997][ECOCYC:EG12116-MONOMER] 
stpa,18,6,12,8,4,RDBECOLIGNC01506,2798091.0,2798495.0,reverse,"hnsB,EG11554",[STRING:511145.b2669][ASAP:ABE-0008788][ECHOBASE:EB1515][OU-MICROARRAY:b2669][CGSC:34492][ECOCYC:EG11554][REFSEQ:b2669],RDBECOLIPDC01090,DNA-binding transcriptional repressor StpA with RNA chaperone activity,"HnsB,StpA,H-NS-like DNA-binding transcriptional repressor with RNA chaperone activity",[ALPHAFOLD:P0ACG1][INTERPRO:IPR001801][PFAM:PF00816][PDB:2LRX][SMR:P0ACG1][DIP:DIP-35951N][SMART:SM00528][PRIDE:P0ACG1][PRODB:PRO_000024001][ECOLIWIKI:b2669][MODBASE:P0ACG1][UNIPROT:P0ACG1][REFSEQ:NP_417155][ECOCYC:EG11554-MONOMER] 
relb,3,1,1,2,2,RDBECOLIGNC00826,1645633.0,1645872.0,reverse,"RC,EG10836",[STRING:511145.b1564][ASAP:ABE-0005224][ECHOBASE:EB0829][OU-MICROARRAY:b1564][CGSC:305][ECOCYC:EG10836][REFSEQ:b1564],RDBECOLIPDC00650,Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,"RelB,Qin prophage, antitoxin of the RelE-RelB toxin-antitoxin system and DNA binding transcriptional repressor RelB,Qin prophage, antitoxin RelB",[ALPHAFOLD:P0C079][DISPROT:DP02950][PANTHER:PTHR38781][INTERPRO:IPR007337][PFAM:PF04221][SMR:P0C079][DIP:DIP-48258N][PDB:2K29][PRIDE:P0C079][PRODB:PRO_000023711][ECOLIWIKI:b1564][UNIPROT:P0C079][REFSEQ:NP_416082][ECOCYC:EG10836-MONOMER] 
idnr,7,3,4,4,4,RDBECOLIGNC04631,4490141.0,4491139.0,reverse,"gntS?,gntH,yjgS,G7891",[STRING:511145.b4264][ASAP:ABE-0013966][ECHOBASE:EB2427][OU-MICROARRAY:b4264][ECOCYC:G7891][REFSEQ:b4264],RDBECOLIPDC03202,DNA-binding transcriptional dual regulator IdnR,"GntH,YjgS,IdnR",[INTERPRO:IPR010982][ALPHAFOLD:P39343][PFAM:PF13377][PRIDE:P39343][SMR:P39343][SMART:SM00354][PROSITE:PS00356][PRODB:PRO_000022996][ECOLIWIKI:b4264][MODBASE:P39343][REFSEQ:NP_418685][UNIPROT:P39343][ECOCYC:G7891-MONOMER] 
xapr,2,1,2,4,2,RDBECOLIGNC01129,2521593.0,2522477.0,reverse,"pRndR,pndR,yfeB,EG11146",[STRING:511145.b2405][ASAP:ABE-0007922][ECHOBASE:EB1136][ECOO157CYC:Z3495][OU-MICROARRAY:b2405][CGSC:8][ECOCYC:EG11146][REFSEQ:b2405],RDBECOLIPDC00842,DNA-binding transcriptional activator XapR,"YfeB,PndR,XapR",[ALPHAFOLD:P23841][INTERPRO:IPR005119][PFAM:PF03466][SMR:P23841][PROSITE:PS50931][PRIDE:P23841][PRINTS:PR00039][PRODB:PRO_000024230][ECOLIWIKI:b2405][MODBASE:P23841][ECOO157CYC:Z3495-MONOMER][REFSEQ:NP_416900][UNIPROT:P23841][ECOCYC:EG11146-MONOMER] 
cbl,9,2,2,2,2,RDBECOLIGNC03915,2059964.0,2060914.0,reverse,G7071,[STRING:511145.b1987][ASAP:ABE-0006590][ECHOBASE:EB4012][OU-MICROARRAY:b1987][ECOCYC:G7071][REFSEQ:b1987],RDBECOLIPDC02567,DNA-binding transcriptional activator Cbl,Cbl,[ALPHAFOLD:Q47083][INTERPRO:IPR005119][PFAM:PF03466][SMR:Q47083][DIP:DIP-9248N][PROSITE:PS50931][PDB:2FYI][PRIDE:Q47083][PRINTS:PR00039][PRODB:PRO_000022249][ECOLIWIKI:b1987][MODBASE:Q47083][SWISSMODEL:Q47083][REFSEQ:NP_416492][UNIPROT:Q47083][ECOCYC:G7071-MONOMER] 
soxr,8,7,7,8,8,RDBECOLIGNC00945,4277469.0,4277933.0,forward,"marC,EG10957",[STRING:511145.b4063][ASAP:ABE-0013316][ECHOBASE:EB0950][OU-MICROARRAY:b4063][CGSC:27798][ECOCYC:EG10957][REFSEQ:b4063],RDBECOLIPDC03990,DNA-binding transcriptional dual regulator SoxR,"MarC,SoxR",[ALPHAFOLD:P0ACS2][PANTHER:PTHR30204:SF0][PFAM:PF09278][SMR:P0ACS2][DIP:DIP-29848N][INTERPRO:IPR009061][SMART:SM00422][PROSITE:PS00552][PDB:2ZHG][PRIDE:P0ACS2][PRINTS:PR00040][PRODB:PRO_000023969][ECOLIWIKI:b4063][MODBASE:P0ACS2][UNIPROT:P0ACS2][REFSEQ:NP_418487][ECOCYC:PD04132] 
fhla,30,5,6,8,8,RDBECOLIGNC00295,2854338.0,2856416.0,forward,"fhl,EG10301",[STRING:511145.b2731][ASAP:ABE-0008971][ECHOBASE:EB0297][OU-MICROARRAY:b2731][CGSC:18370][ECOCYC:EG10301][REFSEQ:b2731],RDBECOLIPDC03976,DNA-binding transcriptional activator FhlA,"Fhl,FhlA,formate hydrogen-lyase transcriptional activator for fdhF, hyc and hyp operons",[ALPHAFOLD:P19323][PFAM:PF00158][INTERPRO:IPR003593][SMR:P19323][SMART:SM00382][PROSITE:PS00675][PRIDE:P19323][PRINTS:PR01590][PRODB:PRO_000022608][ECOLIWIKI:b2731][REFSEQ:NP_417211][MODBASE:P19323][SWISSMODEL:P19323][UNIPROT:P19323][ECOCYC:PD02936] 
hprr,14,4,4,4,4,RDBECOLIGNC03902,2038152.0,2038823.0,reverse,"yedW,G7057",[STRING:511145.b1969][ASAP:ABE-0006533][ECHOBASE:EB3798][OU-MICROARRAY:b1969][ECOCYC:G7057][REFSEQ:b1969],RDBECOLIPDC02557,DNA-binding transcriptional dual regulator HprR,YedW,[ALPHAFOLD:P76340][PANTHER:PTHR48111][INTERPRO:IPR011006][PFAM:PF00486][PROSITE:PS50110][SMR:P76340][DIP:DIP-11853N][SMART:SM00448][PRIDE:P76340][PRODB:PRO_000025088][ECOLIWIKI:b1969][MODBASE:P76340][REFSEQ:NP_416478][UNIPROT:P76340][ECOCYC:G7057-MONOMER] 
mara,58,29,35,38,31,RDBECOLIGNC01397,1619574.0,1619957.0,forward,"norB,inaR,cfxB,nfxC,soxQ,EG11434",[STRING:511145.b1531][ASAP:ABE-0005112][ECHOBASE:EB1404][OU-MICROARRAY:b1531][CGSC:18172][ECOCYC:EG11434][REFSEQ:b1531],RDBECOLIPDC03952,DNA-binding transcriptional dual regulator MarA,"CfxB,InaR,NorB,SoxQ,NfxC,MarA",[ALPHAFOLD:P0ACH5][PFAM:PF12833][PRIDE:P0ACH5][PDB:1BL0][SMR:P0ACH5][DIP:DIP-48136N][INTERPRO:IPR009057][SMART:SM00342][PROSITE:PS00041][PRODB:PRO_000023166][ECOLIWIKI:b1531][MODBASE:P0ACH5][UNIPROT:P0ACH5][REFSEQ:NP_416048][ECOCYC:PD00365] 
zrar,24,2,2,24,24,RDBECOLIGNC00475,4203320.0,4204645.0,forward,"hydG,EG10482",[STRING:511145.b4004][ASAP:ABE-0013093][ECHOBASE:EB0477][OU-MICROARRAY:b4004][CGSC:34252][ECOCYC:EG10482][REFSEQ:b4004],RDBECOLIPDC03399,DNA-binding transcriptional activator ZraR,"HydG,ZraR response regulator",[ALPHAFOLD:P14375][REFSEQ:NP_418432][PFAM:PF02954][INTERPRO:IPR003593][SMR:P14375][DIP:DIP-9980N][SMART:SM00382][PROSITE:PS50110][PRIDE:P14375][PRINTS:PR01590][PRODB:PRO_000024256][ECOLIWIKI:b4004][MODBASE:P14375][SWISSMODEL:P14375][UNIPROT:P14375][ECOCYC:HYDG-MONOMER] 
argp,15,10,10,23,23,RDBECOLIGNC00483,3059753.0,3060646.0,forward,"iciA,EG10490",[STRING:511145.b2916][ASAP:ABE-0009574][ECHOBASE:EB0485][OU-MICROARRAY:b2916][CGSC:28646][ECOCYC:EG10490][REFSEQ:b2916],RDBECOLIPDC00527,DNA-binding transcriptional dual regulator ArgP,"ArgP,IciA",[ALPHAFOLD:P0A8S1][INTERPRO:IPR023490][PFAM:PF03466][SMR:P0A8S1][DIP:DIP-48015N][PROSITE:PS50931][PRIDE:P0A8S1][PRINTS:PR00039][PRODB:PRO_000022990][ECOLIWIKI:b2916][MODBASE:P0A8S1][UNIPROT:P0A8S1][REFSEQ:NP_417391][ECOCYC:EG10490-MONOMER] 
gade,33,15,21,24,14,RDBECOLIGNC01497,3658366.0,3658893.0,forward,"yhiE,yhiT,EG11544",[STRING:511145.b3512][ASAP:ABE-0011475][ECHOBASE:EB1506][OU-MICROARRAY:b3512][ECOCYC:EG11544][REFSEQ:b3512],RDBECOLIPDC01083,DNA-binding transcriptional activator GadE,"YhiT,YhiE,GadE,acid-responsive regulator of gadA and gadBC",[ALPHAFOLD:P63204][INTERPRO:IPR016032][PFAM:PF00196][SMR:P63204][DIP:DIP-48091N][PROSITE:PS50043][PRIDE:P63204][PRODB:PRO_000022743][ECOLIWIKI:b3512][UNIPROT:P63204][REFSEQ:NP_417969][ECOCYC:EG11544-MONOMER] 
tyrr,12,9,10,22,20,RDBECOLIGNC01030,1386720.0,1388261.0,forward,EG11042,[STRING:511145.b1323][ASAP:ABE-0004440][ECHOBASE:EB1035][OU-MICROARRAY:b1323][CGSC:55][ECOCYC:EG11042][REFSEQ:b1323],RDBECOLIPDC03955,DNA-binding transcriptional dual regulator TyrR,TyrR,[INTERPRO:IPR003593][ALPHAFOLD:P07604][PFAM:PF00158][PRIDE:P07604][PROSITE:PS50045][SMR:P07604][DIP:DIP-11062N][SMART:SM00382][PDB:2JHE][PRODB:PRO_000024153][ECOLIWIKI:b1323][REFSEQ:NP_415839][MODBASE:P07604][SWISSMODEL:P07604][UNIPROT:P07604][ECOCYC:PD00413] 
cecr,6,1,1,2,2,RDBECOLIGNC02263,829972.0,830643.0,reverse,"ybiH,EG12406",[STRING:511145.b0796][ASAP:ABE-0002711][ECHOBASE:EB2306][OU-MICROARRAY:b0796][ECOCYC:EG12406][REFSEQ:b0796],RDBECOLIPDC01594,DNA-binding transcriptional dual regulator CecR,"CecR,YbiH",[ALPHAFOLD:P0ACU0][INTERPRO:IPR023772][PFAM:PF09209][SMR:P0ACU0][PROSITE:PS01081][PRIDE:P0ACU0][PRINTS:PR00455][ECOLIWIKI:b0796][MODBASE:P0ACU0][SWISSMODEL:P0ACU0][UNIPROT:P0ACU0][REFSEQ:NP_415317][ECOCYC:EG12406-MONOMER] 
glar,120,1,1,117,112,RDBECOLIGNC02246,2795674.0,2796336.0,forward,"ygaE,gabC,csiR,EG12386",[STRING:511145.b2664][ASAP:ABE-0008765][ECHOBASE:EB2287][OU-MICROARRAY:b2664][ECOCYC:EG12386][REFSEQ:b2664],RDBECOLIPDC01580,DNA-binding transcriptional repressor GlaR,"GlaR,CsiR,YgaE,GabC",[ALPHAFOLD:P37338][INTERPRO:IPR011711][PFAM:PF07729][PRIDE:P37338][SMR:P37338][DIP:DIP-12095N][SMART:SM00895][PROSITE:PS50949][ECOLIWIKI:b2664][MODBASE:P37338][REFSEQ:NP_417150][UNIPROT:P37338][ECOCYC:EG12386-MONOMER] 
